Model,Dataset,Lag,Horizon,Consolidated MSE,MAE,MASE,ZI-MAE,ZI-MSE,MAPE,SMAPE,ZI-MAPE,ZI-SMAPE
TimeGPT,ETTm2,96,96,3.3155171039690616,1.3583630420058113,12.032517772287148,1.3583630420058113,3.3155171039690616,402313283535085.9,7.710334337004737,31.872676643841036,6.875337335377751
TimeGPT,Exchange,96,96,0.08499693304957849,0.20842907969287897,4.935230388960936,0.20842907969287897,0.08499693304957849,0.023106294742144234,0.18585778856171434,0.18485035793715388,0.18585778856171434
TimeGPT,Weather,96,96,1.0992085388075303,0.7477864368064912,14.981735681317074,0.7477864368064912,1.0992085388075303,5591723121889771.0,17.174942142936388,57.95279046094222,39.473793123390095
TimeGPT,Illness,96,96,3.6351189320674253,1.3030906494569265,5.182680315100239,1.3030906494569265,3.6351189320674253,0.7041028643143541,3.310389605730973,4.9287200502004795,3.310389605730973
TimeGPT,Divvy,96,96,1.105181420425094,0.7969709463166514,7.6831489887313165,0.7969709463166514,1.105181420425094,615214706575138.6,105.39494429679809,1.0831344007386648e+16,113.52839977994672
TimeGPT,M5,96,96,19.529768471812037,1.3820708748291577,1.2198723454879778,1.3683629840869977,19.513943140495012,480580069379.21387,1266.5233336251913,11711.760616065616,1264.8672233240084
TimeGPT,ETTh1,96,192,0.8544392719946746,0.6091890821105735,2.3225405929526395,0.6091890821105735,0.8544392719946746,65192010475360.83,3.7394226141281255,12.374733176459623,3.7757711948698542
TimeGPT,ETTh2,96,192,3.505988977772938,1.4169168410422233,8.341894531052816,1.4169168410422233,3.505988977772938,273530967715163.9,8.06078238370052,52.67703772559432,6.920458722851843
TimeGPT,ETTm1,96,192,0.7991816655582445,0.5708448909805315,4.0322324150883455,0.5708448909805315,0.7991816655582445,56468072021124.62,3.530642367887595,12478822233026.865,3.5427238612679277
TimeGPT,ETTm2,96,192,3.2606857375290352,1.3755897805602109,13.248493121287494,1.3755897805602109,3.2606857375290352,231303578965446.06,7.988187829122117,32.98866756122383,6.824888351468547
TimeGPT,Electricity,96,192,1.1460855998350827,0.8102897262809747,2.9859691173109,0.8102897262809747,1.1460855998350827,54518710025.822075,115.38725890856834,17500505918288.875,115.38725890856836
TimeGPT,Exchange,96,192,0.11695698253065964,0.24631871155128118,7.131454364851518,0.24631871155128118,0.11695698253065964,0.027356508646460064,0.2162570512199834,0.2188520691716805,0.2162570512199834
TimeGPT,Weather,96,192,1.0524314061243945,0.7402297674769136,16.932603301276682,0.7402297674769136,1.0524314061243945,6017229387116654.0,17.134985221095047,58.577496494532426,41.36705212606991
TimeGPT,Illness,96,192,3.7364196870923543,1.419159789426029,5.7959200389668,1.419159789426029,3.7364196870923543,0.7662460052067822,3.7676026390830892,5.3637220364474745,3.7676026390830892
TimeGPT,M5,96,192,19.83828149187088,1.4124475984987495,1.2496847572723868,1.3979048282483557,19.820706104635505,519086913060.0375,1264.434766802475,13296.521100030666,1262.786377825717
TimeGPT,ETTh1,96,336,0.8902798730477754,0.6227594732530722,2.3929809099554293,0.6227594732530722,0.8902798730477754,70205260824905.17,3.744661317063493,12.518013143087327,3.789156362548028
TimeGPT,ETTh2,96,336,3.559578633881293,1.4407999592008953,8.64639397718424,1.4407999592008953,3.559578633881293,367347456902453.7,8.157312565546864,54.7823436688062,7.1372988175558705
TimeGPT,ETTm1,96,336,0.796510237322234,0.583586329886773,4.204851592982554,0.583586329886773,0.796510237322234,35238372667985.28,3.626623167173518,9733544027088.023,3.620843297320613
TimeGPT,ETTm2,96,336,3.452818327286821,1.4167150717251804,14.901344404450175,1.4167150717251804,3.452818327286821,261246480104710.25,8.15344890133022,32.97811462341184,6.957750131956037
TimeGPT,Exchange,96,336,0.2510049043982349,0.34838866511842986,11.146790957031378,0.34838866511842986,0.2510049043982349,0.039359293832862,0.30589191629070095,0.31487435066289593,0.30589191629070095
TimeGPT,Weather,96,336,1.0290833858276889,0.7291660670218065,16.693736645811544,0.7291660670218065,1.0290833858276889,6881297196984745.0,16.702490333162668,75.90546741202684,44.963055504924824
TimeGPT,Divvy,96,336,1.3500302771986716,0.8896748796480327,9.085384401248715,0.8896748796480327,1.3500302771986716,876100624939045.6,106.83698122359041,1.4369457150465914e+16,126.63806319930829
TimeGPT,ETTh1,96,720,0.88697669689081,0.6288124243350268,2.4294949919429736,0.6288124243350268,0.88697669689081,87607706140479.11,3.742286569815865,11.457205985737453,3.810731431579451
TimeGPT,ETTh2,96,720,3.5395006346688334,1.4501246406650048,8.718440277394212,1.4501246406650048,3.5395006346688334,311174380384811.44,8.172146763393007,51.562942048559364,7.069962349033792
TimeGPT,ETTm1,96,720,0.8242604326498508,0.6039924579287905,4.2560196965196955,0.6039924579287905,0.8242604326498508,66179734837860.88,3.749040919395455,7243921980506.474,3.789978956816538
TimeGPT,ETTm2,96,720,3.7878884441179244,1.4801910665183098,15.969156958355814,1.4801910665183098,3.7878884441179244,417331250849628.8,8.244220051949956,31.638779726241648,7.339708517799768
TimeGPT,M5,96,336,18.97665121263009,1.4251801850469772,1.2617713476390173,1.4092978859810916,18.95619799895439,569154202248.0188,1259.420524508566,13789.117808537769,1257.7858183847
TimeGPT,Electricity,96,720,1.1242006730843066,0.8063873277747473,2.9863244883966797,0.8063873277747473,1.1242006730843066,64500025835.93728,113.95980800319491,20704508293335.816,113.95980800319491
TimeGPT,Exchange,96,720,0.8568675699319759,0.6727325845384288,23.749302198524568,0.6727325845384288,0.8568675699319759,0.07874670080704319,0.5860004305307653,0.6299736064563455,0.5860004305307652
TimeGPT,Weather,96,720,1.056244020767036,0.7462920619865748,17.948033406713634,0.7462920619865748,1.056244020767036,7095537186789044.0,16.90232452045352,72.21174991055823,46.161645722534196
ARIMA,Illness,24,6,7.88587866718899,1.9955412885608168,3.6584463880972464,1.9955412885608168,7.88587866718899,1.0150435021264466,1.1355831482204337,2.030087004252893,1.1355831482204337
AR,ETTh1,6,2,0.714361962688416,0.6415136010082396,2.16048086777894,0.6415136010082396,0.714361962688416,206688301959649.1,3.568482319906916,7.897543834793684,3.4351950218202516
VAR,ETTh1,6,2,0.619653371891466,0.6837913201721795,0.2782619910118369,0.6837913201721795,0.619653371891466,0.28412366460178623,0.24257972180376938,0.28412366460178623,0.24257972180376938
ARNET,ETTh1,24,6,9.539936139493186,6.243170869854629,0.9863391379907195,6.243170869854629,9.539936139493186,143236467841606.16,0.5762794776765334,1.7029097608759365,0.6058167888931344
ARNET,ETTh2,24,6,10.826844785502285,6.971100553993591,0.7032161681728063,6.971100553993591,10.826844785502285,6385441013247006.0,0.9006417856366213,586715261386271.6,1.8503490735515202
ARNET,ETTm1,24,6,9.527949579886506,6.283272087158233,0.941329969122633,6.283272087158233,9.527949579886506,143534135370937.0,0.5618590090735897,1.6010468958085737,0.5914624157591399
ARNET,ETTm2,24,6,13.396716642013248,7.886358664799568,0.7847651451823039,7.886358664799568,13.396716642013248,8454792754551364.0,0.9088635974528002,3.1467524453219244,2.384844170142488
ARNET,Exchange,24,6,30.563570871866716,12.805916279874566,1.067971790371777,12.805916279874566,30.563570871866716,0.1978304211217336,0.173160266069296,0.1978304211217336,0.173160266069296
ARNET,Weather,24,6,8061.841457599251,156.8642081739424,12.223786435432372,156.8642081739424,8061.841457599251,5.596814710027819e+17,0.9972742092893593,264.86238927424773,124.89136659180365
ARNET,Weather,24,6,8061.841457599251,156.8642081739424,12.223786435432372,156.8642081739424,8061.841457599251,5.596814710027819e+17,0.9972742092893593,264.86238927424773,124.89136659180365
ARNET,ETTh1,24,6,9.539931378041503,6.243170922836536,0.986339146361166,6.243170922836536,9.539931378041503,143236419145831.84,0.5762797847548082,1.7029090004407486,0.6058170851587752
Chronos,ETTh2,24,6,0.7029374479811927,1.4375207653982023,0.1532721850893765,1.4375207653982023,0.7029374479811927,130.28641957511175,4.122367121504262,912.0049370257826,4.122367121504262
Chronos,Divvy,24,6,105.10962759869385,106.22405125738297,0.5461559602670291,106.21740736465046,105.10921753637312,15.827889326830345,70.0254810147215,3165.577865366069,70.0254810147215
Chronos,Exchange,24,6,0.19750459564765918,1.0375969806403593,0.08449707353637513,1.0375969806403593,0.19750459564765918,0.01443690144656467,0.11647742648235182,0.11549521157251734,0.11647742648235182
Chronos,Divvy,24,6,106.54620056596633,107.17126082287116,0.5479631410784339,107.17126082287116,106.54620056596633,15.51035081516719,70.70345914332137,3102.0701630334374,70.70345914332137
Chronos,ETTm2,24,6,2.7577064760094596,3.0338255095988442,0.3159051390180353,3.0338255095988442,2.7577064760094596,51.14591066619918,5.211553328769437,358.0213746633941,5.211553328769437
Chronos,Electricity,24,6,54.41576558410528,75.26693372966103,0.35119233913232695,75.21594056217074,54.39689884761714,1.7618655964670906,39.41203538091137,565.5588564659361,39.41203538091137
Chronos,ETTm1,24,6,7.448017646654104,5.690719389532969,0.8497648402331066,5.690719389532969,7.448017646654104,1.0800046947727533,4.334242778104419,7.560032863409273,4.334242778104419
Chronos,M5,24,6,19361.59181978983,900.604810939586,1.0697056452380518,900.5296054327669,19361.55746496189,4879023.008627573,1608.0333841642826,4879023008.627573,1608.0333841642828
Chronos,ETTh1,24,6,2.512994795410458,2.6616828030137913,0.4046326986395867,2.6616828030137913,2.512994795410458,0.6683261543303444,2.0631018494494295,4.678283080312411,2.0631018494494295
Chronos,ETTh1,24,6,2.7763429816743526,2.6765768664681766,0.39246247277443114,2.6765768664681766,2.7763429816743526,1.3812034549283772,2.068262737196126,9.66842418449864,2.0682627371961266
Chronos,Illness,24,6,58.036020604273,16.84327965203576,2.2448344712771555,16.84327965203576,58.036020604273,2.020532342042904,6.336907880454746,14.143726394300325,6.3369078804547465
Chronos,Weather,24,6,1.2254776110286008,2.764769091530014,0.29324345495306126,2.764769091530014,1.2254776110286008,10.203242681240067,11.952933960367373,214.2680963060414,11.952933960367373
Chronos,Weather,24,6,1.263719296424705,2.8119821741150415,0.29520674773053496,2.8119821741150415,1.263719296424705,12.223921309422664,11.981208349968869,256.7023474978761,11.981208349968869
Chronos,M5,24,12,17552.51786068043,912.2264065038194,1.1229253457595927,912.1186684743126,17552.42044354657,4977009.162406758,1596.5641141455235,4977009162.406758,1596.5641141455235
Chronos,ETTh1,24,12,2.789485697272796,2.7656065021868375,0.3462806244413757,2.7656065021868375,2.789485697272796,2.5619967188559984,2.43068174862108,17.933977031991994,2.43068174862108
Chronos,ETTm1,24,12,6.580172122536296,5.295349632602932,0.7818405040606756,5.295349632602932,6.580172122536296,0.764603070583281,4.238992763592434,5.352221494082967,4.238992763592434
Chronos,ETTm2,24,12,2.342588167418591,2.861194530042925,0.31163259222965534,2.861194530042925,2.342588167418591,26.23642932287215,5.0228531181447105,183.65500526010507,5.022853118144711
Chronos,Weather,24,12,1.0204150424647145,2.463500312738699,0.26109224910225837,2.463500312738699,1.0204150424647145,7.0779604584634255,11.62518505054542,148.6371696277319,11.62518505054542
Chronos,Divvy,24,12,86.4829976506441,94.90546641462102,0.499368487059531,94.90509368490012,86.48299264925608,14.432349653453054,64.36578040792097,2886.4699306906114,64.36578040792097
Chronos,Illness,24,12,32.34545688914974,10.972752189464018,1.4758823579104177,10.972752189464018,32.34545688914974,1.2448412072284127,4.620200157866226,8.71388845059889,4.620200157866226
Chronos,ETTh2,24,12,0.7789960405495253,1.4833666555096057,0.1541838203746302,1.4833666555096057,0.7789960405495253,63.54116981087269,4.335856126121704,444.78818867610875,4.335856126121704
Chronos,Electricity,24,12,51.29796473766206,71.95986150252038,0.3475582978699323,71.93131943602003,51.28606307032878,0.8770441151832281,38.10938981729125,281.5311609738162,38.10938981729126
Chronos,Exchange,24,12,0.1980124207365589,1.030290576982457,0.08461434409715755,1.030290576982457,0.1980124207365589,0.014306528203445473,0.11534379106021486,0.1144522256275638,0.11534379106021486
Chronos,ETTh2,24,24,0.8367234265379583,1.4977441389169803,0.1490882191276986,1.4977441389169803,0.8367234265379583,31.80790597121151,4.062126331615941,222.65534179848052,4.062126331615941
Chronos,ETTh1,24,24,2.135856867566508,2.3003234178353438,0.2910478525924209,2.3003234178353438,2.135856867566508,2.2392923129923026,2.4274854418584937,15.675046190946116,2.4274854418584937
Chronos,ETTm2,24,24,1.2662260539443704,1.9010639463606165,0.19953864986408645,1.9010639463606165,1.2662260539443704,8.316706517400998,4.395314098210879,58.216945621807,4.395314098210879
Chronos,Divvy,24,24,64.69967836354853,77.842219105318,0.4196785410216778,77.82211249684188,64.69220488330042,8.749004496690628,56.993343721044674,1749.8008993381254,56.99334372104468
Chronos,ETTh1,24,24,1.7625319734975862,2.217986478046752,0.29404108189069705,2.217986478046752,1.7625319734975862,1.6122602176180851,2.424737613643504,11.285821523326597,2.424737613643504
Chronos,ETTh1,24,24,2.1575223413194644,2.3310123731644894,0.29844900128252366,2.3310123731644894,2.1575223413194644,1.9678066183623142,2.3473126523992547,13.7746463285362,2.347312652399255
Chronos,Weather,24,24,0.672657079965159,1.9945976817478628,0.21557795368850588,1.9945976817478628,0.672657079965159,4.000894968185388,11.190280343850416,84.01879433189313,11.190280343850416
Chronos,Illness,24,24,36.283851929229655,11.845510943178423,1.5892027192836125,11.840503944272884,36.28084352466485,1.1226655848618352,4.680747312977896,7.858659094032847,4.680747312977896
Chronos,Illness,24,24,36.66852683471662,11.945054605888924,1.6883356455625782,11.945054605888924,36.66852683471662,1.1573137868652563,4.738711293885953,8.101196508056795,4.738711293885953
Chronos,Exchange,24,24,0.1195428444751534,0.6641317251752096,0.05638608716645275,0.6641317251752096,0.1195428444751534,0.009242006829543094,0.07458262212217527,0.07393605463634476,0.07458262212217528
Chronos,Illness,24,24,36.276095106721094,11.906038999561584,1.635020045014137,11.901007052016222,36.27305664718918,1.1164124610132096,4.7092359724230155,7.814887227092466,4.7092359724230155
Chronos,Illness,24,24,36.58516433935283,11.932356244644495,1.6752169772006675,11.905969484896257,36.501613008551494,1.1356701070738915,4.738174279836894,7.949690749517241,4.738174279836894
Chronos,M5,24,24,17014.498201259677,928.3539451247635,1.1470391872163517,928.219207535326,17014.381766020662,6438707.307685139,1596.9139525041332,6438707307.68514,1596.9139525041335
Chronos,ETTm1,24,24,4.2981324534603065,3.7982543279942202,0.5635861986300744,3.7982543279942202,4.2981324534603065,0.6156304845279682,3.1902080068523766,4.309413391695778,3.190208006852377
Chronos,Electricity,24,24,40.78370073176403,64.04470583081421,0.3190078399574402,64.00222178020954,40.74380406285708,0.5224594979615816,34.421224983674236,167.70949884566775,34.421224983674236
Chronos,Electricity,24,24,40.4868592344794,63.63564957034828,0.31679725603582987,63.565640064922114,40.434576673297016,0.9630967879316711,34.31559926210944,309.1540689260665,34.31559926210944
Chronos,ETTm1,24,48,3.180448096718785,2.869748518987228,0.3865562818354863,2.869748518987228,3.180448096718785,0.4269203780036727,2.3556334991595946,2.9884426460257085,2.3556334991595946
Chronos,ETTm2,24,48,1.2150131255284995,1.899670179846704,0.17840346117331546,1.899670179846704,1.2150131255284995,57.35152864858129,4.39300736954598,401.460700540069,4.39300736954598
Chronos,ETTm1,24,48,2.8428083088746976,2.745716540436936,0.36941298631406416,2.745716540436936,2.8428083088746976,0.4404181275640212,2.343940605130184,3.0829268929481484,2.343940605130184
Chronos,ETTh2,24,48,0.8987049971613068,1.6000702802972713,0.1607062772927131,1.6000702802972713,0.8987049971613068,5.921411337894917,4.502822311763278,41.449879365264415,4.502822311763278
Chronos,Illness,24,48,36.83791626710949,11.699577708754084,1.6569133287696847,11.684332295726755,36.79515196864688,0.9988061814495206,4.459100512185587,6.9916432701466436,4.459100512185587
Chronos,Divvy,24,48,86.67092026961109,92.90801051868988,0.5311533934281467,92.890648275278,86.65384705752955,13.469486995062198,64.52130776276387,2693.8973990124396,64.52130776276387
Chronos,ETTm1,24,48,2.97341323719129,2.8031770882930616,0.3679426970073339,2.8031770882930616,2.97341323719129,0.6463377455167825,2.3500521885352037,4.524364218617477,2.3500521885352037
Chronos,Electricity,24,48,63.16114613006185,80.4759310532059,0.3923618370998339,80.39263551622622,63.07299096443194,0.4898874817250803,41.03236649173712,157.25388163375075,41.03236649173712
Chronos,Weather,24,48,1.048313849974659,2.2898319890159278,0.23244058207157026,2.2898319890159278,1.048313849974659,1.7361106073990782,12.006094558988142,36.45832275538064,12.006094558988144
Chronos,ETTm2,24,48,1.2322941132120258,1.9074565091483418,0.1769418212216116,1.9074565091483418,1.2322941132120258,61.146573220318814,4.7607965816424285,428.0260125422317,4.7607965816424285
Chronos,Divvy,24,48,86.71306650844646,92.83486590537305,0.5299908828036065,92.82975089740076,86.7119148833645,13.315160432411211,64.87066963332572,2663.0320864822424,64.87066963332572
Chronos,Electricity,24,48,62.92358285777785,80.32817149652361,0.3922782511930003,80.24768876769645,62.86573006490921,0.6072575393629208,41.023546796133104,194.92967013549756,41.023546796133104
Chronos,Exchange,24,48,0.1609703364350797,0.8277485935532515,0.07094516586265129,0.8277485935532515,0.1609703364350797,0.01170815716408298,0.09414554660618228,0.09366525731266384,0.0941455466061823
Chronos,M5,24,48,16530.010999708335,920.6828919425581,1.3069155738370066,920.500281436424,16528.619069978424,10792772.474151487,1614.698276118917,10792772474.151487,1614.698276118917
Chronos,ETTh1,24,48,2.2706392243779985,2.4220158764841115,0.36751963774232627,2.418956558671328,2.2692914671089337,1.1780656895959634,2.589563053871795,8.246459827171744,2.589563053871795
Chronos,M5,24,48,16565.822006492806,921.9400368613266,1.2982481364569198,921.8997373793601,16565.78623404176,10993534.697565306,1613.5441700212932,10993534697.565304,1613.5441700212932
Chronos,ETTh1,24,48,2.3595212059454074,2.4882222074288878,0.38957479222719427,2.4667362219450633,2.348997191066898,0.6251718796587283,2.6568916570481957,4.376203157611099,2.656891657048196
Chronos,ETTh1,24,48,2.292361764172636,2.435421623095356,0.3731971157304087,2.433156383149421,2.2919101392185466,1.023990950853289,2.6009500026882253,7.167936655973023,2.6009500026882253
Chronos,M5,24,48,16681.317127464783,924.4743084983841,1.2902101935833268,924.2618112883551,16680.712845802704,10541414.724851588,1614.0185878009925,10541414724.851585,1614.0185878009927
Chronos,ETTh2,24,96,2.193627793168739,2.3591197086411606,0.2526274635295924,2.3567273567255635,2.192527623058054,1.4672263982322475,4.710298703266669,10.270584787625735,4.71029870326667
Chronos,Exchange,24,96,0.3719196347197887,1.0769736401565173,0.09050129535763486,1.0761606018908394,0.3717927269700861,0.014952132496602905,0.12025430702853455,0.11961705997282321,0.12025430702853455
Chronos,Weather,24,96,1.942447191502944,3.786148652970561,0.4398254781331795,3.785668606686585,1.9424142035684835,2.2248500387272485,12.55534687740255,46.721850813272205,12.55534687740255
Chronos,Illness,24,96,36.518743172724974,11.593253725971522,1.80173632729629,11.58124985338882,36.481907047647006,0.9798043581951035,4.325653095027821,6.858630507365724,4.325653095027821
Chronos,ETTm1,24,96,6.637116494996679,4.1568451446464705,0.5798279977817159,4.150254251078845,6.6246058101269885,0.7193022408993085,3.177773317250814,5.0351156862951605,3.177773317250814
Chronos,Divvy,24,96,176.05449783265365,138.26557175969347,1.0058365762755808,138.25952666352518,176.05033487344824,47.50803768878417,104.10735849878581,9501.607537756836,104.10735849878581
Chronos,ETTh1,24,96,3.2734183004485646,3.0359820177825543,0.44434319255548665,3.0359820177825543,3.2734183004485646,0.7305934615072148,2.932074711271248,5.114154230550504,2.932074711271248
Chronos,ETTm2,24,96,1.9080345951141935,2.32098911674991,0.2118200035119123,2.32098911674991,1.9080345951141935,58.58942575254911,4.932383574825655,410.12598026784383,4.932383574825655
